Median Houses  Prices 4th Quarter 2020,,,,,,,,Change %,Change %
BIRCHIP,130500,102500,140000,120500,135000,5,19,3.4,12.0
BIRREGURRA,423000,465000,512000,379000,496000,4,17,17.3,30.9
BITTERN,605000,615000,567500,627500,670000,18,42,10.7,6.8
BLACK HILL,515000,420000,405000,400000,520000,20,43,1.0,30.0
BLACK ROCK,1727500,1920000,2220000,2110000,1840000,25,56,6.5,-12.8
BLACKBURN,1380000,1355500,1350000,1387500,1529000,38,123,10.8,10.2
BLACKBURN NORTH,1156000,1100000,1046500,1128000,1092500,26,69,-5.5,-3.1
BLACKBURN SOUTH,1180000,1170000,1061800,1040000,1135000,25,77,-3.8,9.1
BLACKWOOD,405000,405000,542500,435000,490000,1,12,21.0,12.6
BLAIRGOWRIE,950000,937500,957500,1045000,1476000,72,168,55.4,41.2
BLIND BIGHT,555000,600000,560000,545000,600000,7,22,8.1,10.1
BONBEACH,908000,965000,900000,885000,889500,16,60,-2.0,0.5
BONNIE DOON,457500,290000,352500,340000,430000,7,14,-6.0,26.5
BONSHAW,348500,430000,415000,474000,465000,6,14,33.4,-1.9
BOOLARRA,284300,284300,245000,175000,262500,6,8,-7.7,50.0
BOORT,189500,163800,120000,157500,172500,6,15,-9.0,9.5
BORONIA,730000,727500,697500,705000,730000,57,216,0.0,3.5
BOTANIC RIDGE,720600,726000,720000,762500,727500,44,125,1.0,-4.6
BOX HILL,1552500,1613000,1383000,1429000,1450000,13,41,-6.6,1.5
BOX HILL NORTH,1265000,1200000,1210000,1180000,1170000,32,86,-7.5,-0.8
BOX HILL SOUTH,1283400,1380000,1196400,1060000,1250000,24,68,-2.6,17.9
BRAYBROOK,669000,705000,671500,642000,703800,34,113,5.2,9.6
BREAKWATER,405000,405000,418300,410000,407000,2,7,0.5,-0.7
BRIAGOLONG,300000,300000,262500,310000,292000,4,13,-2.7,-5.8
BRIAR HILL,868000,900000,845000,821000,925800,12,22,6.7,12.8
BRIGHT,575000,645000,650000,620000,769000,29,60,33.7,24.0
BRIGHTON,2740000,2920000,2890000,3087500,3200000,81,210,16.8,3.6
BRIGHTON EAST,1762500,1797500,1850000,1895000,2073500,72,170,17.6,9.4
BROADFORD,445000,412500,420000,503800,466000,21,73,4.7,-7.5
BROADMEADOWS,562700,566300,555000,550000,563500,17,67,0.2,2.5
BROOKFIELD,480000,512000,460000,530000,506000,44,144,5.4,-4.5
BROOKLYN,675000,617500,725000,665000,740000,3,15,9.6,11.3
BROWN HILL,467500,486000,465000,465500,537500,19,55,15.0,15.5
BRUNSWICK,1155000,1208000,1095000,969000,1107500,72,168,-4.1,14.3
BRUNSWICK EAST,992500,1252500,1283000,1115800,1365000,29,66,37.5,22.3
BRUNSWICK WEST,1140000,1120000,1180000,1135000,1255300,22,77,10.1,10.6
BRUTHEN,276500,215000,215000,348000,361000,6,10,30.6,3.7
BULLEEN,1210000,1250000,1210000,1100000,1057500,32,88,-12.6,-3.9
BUNDALONG,515000,458500,1275000,700000,755000,7,16,46.6,7.9
BUNDOORA,770000,767000,698500,695000,750500,76,219,-2.5,8.0
BUNINYONG,445000,572500,590000,605000,548000,15,41,23.1,-9.4
BUNYIP,558000,785000,545000,535000,535000,11,34,-4.1,0.0
BURNSIDE,616000,663000,714500,607500,675300,10,43,9.6,11.2
BURNSIDE HEIGHTS,595000,618000,651000,662500,677500,26,69,13.9,2.3
BURWOOD,1200000,1302500,1007500,1331000,1309000,38,83,9.1,-1.7
BURWOOD EAST,1106000,1088000,1000000,930000,1130000,25,94,2.2,21.5
CAIRNLEA,730000,810000,789500,800000,805000,20,62,10.3,0.6
CALIFORNIA GULLY,290800,318000,300000,305000,333000,30,94,14.5,9.2
CAMBERWELL,2295000,2022800,2278900,1995000,2055000,55,150,-10.5,3.0
CAMPBELLFIELD,544000,530000,515000,575000,547500,4,24,0.6,-4.8
CAMPBELLS CREEK,530000,442000,430000,545000,640000,13,32,20.8,17.4
CAMPERDOWN,295300,250000,258000,306500,315000,25,79,6.7,2.8
CANADIAN,357000,385100,427500,416000,510000,19,78,42.9,22.6
CANTERBURY,3100000,2630000,2700000,2670000,3205000,29,78,3.4,20.0
CAPE PATERSON,557500,658100,675000,445000,620000,9,30,11.2,39.3
CAPE SCHANCK,1010000,1018500,1095500,1312500,1185000,4,14,17.3,-9.7
CAPEL SOUND,500000,600000,565000,527500,588000,28,82,17.6,11.5
CARLTON,1750000,1522500,1227500,1315000,1307500,8,25,-25.3,-0.6
CARLTON NORTH,1816000,1347500,1600000,1520000,1455000,29,59,-19.9,-4.3
CARNEGIE,1507500,1371000,1366000,1356000,1612500,30,66,7.0,18.9
CAROLINE SPRINGS,652500,655000,680500,607500,628000,65,218,-3.8,3.4
CARRUM,750000,900000,979000,680500,740000,5,28,-1.3,8.7
CARRUM DOWNS,544600,575000,550000,580000,585000,103,301,7.4,0.9
CASTERTON,122500,161500,120000,117500,192000,16,48,56.7,63.4
CASTLEMAINE,559000,562500,479500,508800,577500,56,136,3.3,13.5
CAULFIELD,1811000,2125000,1795000,1705000,1688500,6,19,-6.8,-1.0
CAULFIELD EAST,1372500,1748500,900000,920000,952500,2,10,-30.6,3.5
CAULFIELD NORTH,2625000,2557500,2062000,1880000,2350000,31,91,-10.5,25.0
CAULFIELD SOUTH,1722500,1725000,1727500,1735000,1757500,40,93,2.0,1.3
CHADSTONE,1135000,1182000,966500,1145000,1071900,8,35,-5.6,-6.4
CHARLEMONT,495300,540000,533500,535000,496500,10,37,0.3,-7.2
CHARLTON,135000,197500,137500,150000,150000,11,30,11.1,0.0
CHELSEA,960000,872500,985000,1025000,983800,14,58,2.5,-4.0
CHELSEA HEIGHTS,790400,845000,790000,770000,822000,23,53,4.0,6.8
CHELTENHAM,1172500,1170000,1146000,1067500,1202000,47,119,2.5,12.6
CHELTENHAM EAST,955500,1038000,917500,930000,1040000,17,45,8.8,11.8
CHELTENHAM NORTH,1036000,950500,905000,815000,906300,12,39,-12.5,11.2
CHEWTON,532500,576000,520000,403800,632500,6,13,18.8,56.7
CHILTERN,221500,311100,311100,321000,353800,2,12,59.7,10.2
CHIRNSIDE PARK,675000,760000,770300,745000,840000,53,161,24.4,12.8
CHURCHILL,192300,197000,210000,235000,248500,22,94,29.3,5.7
CLARINDA,846600,852500,843800,890000,850000,11,40,0.4,-4.5
CLAYTON,1183000,1116000,1045000,1005900,1060000,9,38,-10.4,5.4
CLAYTON NORTH,1644000,1655000,1444400,895100,1140000,5,10,-30.7,27.4
CLAYTON SOUTH,880000,800000,830000,830000,913800,14,37,3.8,10.1
CLIFTON HILL,1553000,1538500,1345000,1040000,1376000,21,52,-11.4,32.3
CLIFTON SPRINGS,489000,517000,505500,500000,542000,58,176,10.8,8.4
CLUNES,372500,305000,360000,295000,422500,16,34,13.4,43.2
CLYDE,586500,566500,590000,590500,570000,69,202,-2.8,-3.5
CLYDE NORTH,597500,600000,605000,600000,635500,146,403,6.4,5.9
COBBLEBANK,524000,500000,526000,495000,536000,20,53,2.3,8.3
COBDEN,300000,230000,276500,293000,260000,3,22,-13.3,-11.3
COBRAM,275000,300000,252000,239000,322500,42,119,17.3,34.9
COBURG,1070000,1132500,972500,1075000,1127500,92,225,5.4,4.9
COBURG EAST,934000,943500,945000,1157500,1003500,18,60,7.4,-13.3
COBURG NORTH,825000,915000,862600,880000,920000,23,61,11.5,4.5
COCKATOO,660000,600000,509000,635000,612000,29,63,-7.3,-3.6
COHUNA,192500,193000,240000,225000,250000,16,58,29.9,11.1
COLAC,315000,352500,350000,347000,366000,61,181,16.2,5.5
COLDSTREAM,645000,656000,652000,647800,640000,12,30,-0.8,-1.2
COLERAINE,165000,120000,147500,125000,154500,4,24,-6.4,23.6
COLLINGWOOD,1173000,1172500,1600000,1048000,1155000,7,36,-1.5,10.2
COOLAROO,455000,480000,420300,500000,473800,12,25,4.1,-5.3
COONANS HILL,905000,985000,980000,1050000,1185000,9,24,30.9,12.9
COONGULLA,355800,310000,310000,265000,265000,0,3,NA,NA
CORINELLA,345000,540000,450000,630000,465500,10,31,34.9,-26.1
CORIO,374800,370000,380000,395000,395000,80,229,5.4,0.0
CORONET BAY,388800,380000,380000,364000,465000,11,36,19.6,27.7
COROROOKE,142000,142000,335000,335000,392500,1,7,176.4,NA
CORRYONG,241000,211500,190000,258500,230000,11,36,-4.6,-11.0
COWES,605000,542000,602300,580000,611500,20,52,1.1,5.4
COWES WEST,475000,488500,466300,535300,579500,62,172,22.0,8.3
CRAIGIEBURN,535000,560000,567000,560000,575000,350,905,7.5,2.7
CRANBOURNE,501800,518800,492500,500000,538000,92,267,7.2,7.6
CRANBOURNE EAST,600000,562600,565000,583000,600000,100,271,0.0,2.9
CRANBOURNE NORTH,570000,576000,596500,582500,590000,97,271,3.5,1.3
CRANBOURNE SOUTH,636800,637900,640000,580500,622500,10,18,-2.2,7.2
CRANBOURNE WEST,530000,540000,530500,542500,589500,80,292,11.2,8.7
CREMORNE,1299500,1472500,1051000,1028000,1435000,9,21,10.4,39.6
CRESWICK,365000,370000,380000,392500,400000,19,71,9.6,1.9
CRIB POINT,502800,577000,578800,580000,605000,12,45,20.3,4.3
CROYDON,780500,770000,745000,746000,845000,89,259,8.3,13.3
CROYDON HILLS,868000,955000,1004000,880000,892800,22,48,2.9,1.4
CROYDON NORTH,864000,902500,850000,802500,850000,28,72,-1.6,5.9
CROYDON SOUTH,750000,762500,828000,690000,749500,25,65,-0.1,8.6
CURLEWIS,570000,546000,485000,572500,590000,23,68,3.5,3.1
DALLAS,460000,480000,450000,466000,480000,19,56,4.3,3.0
DALYSTON,410000,350000,385000,445000,480000,7,20,17.1,7.9
DANDENONG,623500,630000,616000,607000,630000,52,154,1.0,3.8
DANDENONG NORTH,637500,651000,630000,630000,639000,69,162,0.2,1.4
DARLEY,555000,535000,485000,470000,557500,36,111,0.5,18.6
DAYLESFORD,600000,665000,642500,665000,825000,25,81,37.5,24.1
DEANSIDE,-,4300000,363300,473500,359000,5,10,0.0,-24.2
DEEPDENE,2880000,5475000,2915000,3150000,2620000,6,15,-9.0,-16.8
DEER PARK,605000,585000,560000,565000,590000,61,179,-2.5,4.4
DELACOMBE,395000,365000,392500,425000,425000,29,93,7.6,0.0
DELAHEY,590000,602000,541500,580000,572000,23,68,-3.1,-1.4
DENNINGTON,405000,427300,390000,382500,380000,15,40,-6.2,-0.7
DERRIMUT,680000,630000,645000,607000,695500,22,55,2.3,14.6
DIAMOND CREEK,741800,766100,749000,770000,896000,47,127,20.8,16.4
DIGGERS REST,567500,532700,545000,586000,565000,32,75,-0.4,-3.6
DIMBOOLA,93000,157000,222500,150000,169500,9,32,82.3,13.0
DINGLEY VILLAGE,890000,940000,880000,929000,960000,25,63,7.9,3.3
DINNER PLAIN,515000,452500,557500,697500,606300,4,20,17.7,-13.1
DONALD,105000,164000,125000,132000,188800,10,41,79.8,43.0
DONCASTER,1300000,1326300,1230000,1255000,1300000,57,160,0.0,3.6
DONCASTER EAST,1267500,1270400,1225000,1227500,1255000,73,234,-1.0,2.2
DONNYBROOK,540000,622500,707500,725000,614000,9,24,13.7,-15.3
DONVALE,1199000,1167500,1123500,1115000,1225000,30,76,2.2,9.9
DOREEN,611000,621000,597500,601000,660000,130,377,8.0,9.8
DOVETON,485000,490000,463000,486500,525500,42,118,8.4,8.0
DROMANA,655500,725000,800000,760000,798300,38,114,21.8,5.0
DROUIN,451300,467500,462500,451300,502500,84,254,11.4,11.4
DRYSDALE,636300,630000,517500,603800,627500,26,64,-1.4,3.9
DUNKELD,172500,267500,610000,220000,295000,1,12,71.0,34.1
DUNNSTOWN,607500,549900,390000,485000,485000,0,3,NA,NA
DUNOLLY,158800,209000,245000,226000,198500,2,12,25.0,-12.2
EAGLE POINT,425000,370800,468000,397500,356000,11,29,-16.2,-10.4
EAGLEHAWK,336000,344800,325500,363000,364400,38,110,8.5,0.4
EAGLEMONT,1630000,1875000,2029000,1790000,2310000,9,36,41.7,29.1
EAST BAIRNSDALE,313000,335000,314500,316000,307000,7,22,-1.9,-2.8
EAST BENDIGO,409300,398500,344000,408300,377500,14,41,-7.8,-7.5
EAST GEELONG,710000,865000,760000,815000,815000,18,53,14.8,0.0
EAST MELBOURNE,3837500,2350000,2100000,2100000,2600000,9,15,-32.2,NA
EAST WARBURTON,469000,532500,593000,593000,320000,3,8,-31.8,NA
EASTWOOD,410000,395000,395000,414000,460000,13,53,12.2,11.1
ECHUCA,370000,382000,427500,382500,432000,74,217,16.8,12.9
EDENHOPE,162800,162800,177000,160000,139000,12,25,-14.6,-13.1
EDITHVALE,1055000,1067500,956000,984300,1100000,19,65,4.3,11.8
EILDON,260000,282500,283000,290000,285000,9,29,9.6,-1.7
ELLIMINYT,469000,380000,482500,475000,481500,12,39,2.7,1.4
ELMORE,210500,245000,377500,273400,206000,4,17,-2.1,-24.6
ELSTERNWICK,1925000,2375000,2062500,2355000,1985000,23,48,3.1,-15.7
ELTHAM,982500,915000,986000,855000,1085000,58,151,10.4,26.9
ELTHAM NORTH,930000,1000000,991000,1135000,1070300,24,62,15.1,-5.7
ELWOOD,1995000,1730000,2040000,2275000,2037500,38,100,2.1,-10.4
EMERALD,700000,742500,700000,715000,770000,23,65,10.0,7.7
ENDEAVOUR HILLS,638300,658300,645000,646900,690000,83,228,8.1,6.7
EPPING,580000,579500,567500,555000,577000,98,299,-0.5,4.0
EPSOM,375000,410000,416800,430000,460000,33,93,22.7,7.0
ESSENDON,1552500,1577500,1455000,1307500,1613800,54,136,3.9,23.4
ESSENDON NORTH,1100000,1090000,1260000,1047500,1091500,6,17,-0.8,4.2
ESSENDON WEST,1320000,1378000,1300000,1240000,1270000,5,18,-3.8,2.4
EUMEMMERRING,520000,556500,525000,540000,705000,2,17,35.6,30.6
EUREKA,371500,315000,475000,320000,561000,6,12,51.0,75.3
EUROA,338000,360000,355000,360000,330000,13,45,-2.4,-8.3
EYNESBURY,578000,547000,633800,570000,625000,17,47,8.1,9.6
FAIRFIELD,1220000,1445000,1300000,1401000,1413000,14,40,15.8,0.9
FAIRHAVEN,1395000,1420000,2200000,1220000,1525000,10,18,9.3,25.0
FAWKNER,702000,722000,710000,687000,720000,41,123,2.6,4.8
FERNTREE GULLY,765000,758300,726300,740000,761300,80,238,-0.5,2.9
FERNY CREEK,725000,920000,815000,750000,1052500,6,14,45.2,40.3
FINGAL,1860000,991300,1176000,1500000,1305000,13,30,-29.8,-13.0
FITZROY,1570000,1340000,1459000,1440000,1450000,37,70,-7.6,0.7
FITZROY NORTH,1450000,1672500,1625000,1450000,1520000,41,100,4.8,4.8
FIVEWAYS,637000,490000,411000,535000,445000,1,10,-30.1,-16.8
FLEMINGTON,1019500,1017000,915000,1003500,1215000,21,51,19.2,21.1
FLINDERS,1415000,1500000,2472500,2432500,2052500,10,29,45.1,-15.6
FLORA HILL,385000,384500,397100,390000,395000,15,56,2.6,1.3
FLOWERDALE,405000,420000,398000,317500,412500,4,13,1.9,29.9
FOOTSCRAY,912000,970000,810000,801100,915000,40,109,0.3,14.2
FOREST HILL,930000,1075000,978500,975000,980000,37,76,5.4,0.5
FOSTER,330000,400000,349000,387500,391800,16,34,18.7,1.1
FRANKSTON,600500,621000,618000,610000,640000,188,486,6.6,4.9
FRANKSTON NORTH,430800,455000,435000,428000,468500,34,101,8.8,9.5
FRANKSTON SOUTH,841500,820000,866500,840000,897500,113,249,6.7,6.8
FRASER RISE,640000,635000,605000,611800,629000,40,103,-1.7,2.8
FYANSFORD,787000,750000,1007500,806000,795000,5,16,1.0,-1.4
GARDEN CITY,1300000,2143800,1315000,1750000,1925000,3,10,48.1,10.0
GARFIELD,530000,600000,610000,623300,580000,9,20,9.4,-6.9
GEELONG,658000,795000,1150000,852800,906800,14,52,37.8,6.3
GEELONG WEST,690000,775000,720000,720000,755000,41,134,9.4,4.9
GEMBROOK,676000,630000,600000,730000,730000,7,19,8.0,0.0
GISBORNE,757500,782000,810000,840000,860000,43,136,13.5,2.4
GLADSTONE PARK,650000,650000,610000,632000,650000,29,84,0.0,2.8
GLEN HUNTLY,1440000,1480000,1149000,1620500,1516000,5,13,5.3,-6.4
GLEN IRIS,2094000,2100000,2080000,2142000,2200000,81,187,5.1,2.7
GLEN WAVERLEY,1340500,1290000,1236000,1267500,1318000,100,299,-1.7,4.0
GLENROWAN,372500,372500,330000,345000,390300,6,14,4.8,13.1
GLENROY,747500,740000,715000,760000,775000,43,138,3.7,2.0
GOLDEN BEACH,220000,300000,250000,262500,260000,12,33,18.2,-1.0
GOLDEN POINT (BALLARAT),352500,385000,467500,395000,450000,21,56,27.7,13.9
GOLDEN SQUARE,342500,365000,342600,386500,409500,51,182,19.6,6.0
GORDON,630000,649500,649500,559000,585000,3,9,-7.1,4.7
GOUGHS BAY,365000,500000,263000,382000,387500,4,14,6.2,1.4
GOWANBRAE,750000,764000,647500,790000,690500,8,22,-7.9,-12.6
GRANTVILLE,460000,452500,360000,375000,485000,12,36,5.4,29.3
GREEN LAKE,195000,375000,360000,266000,328500,8,20,68.5,23.5
GREENSBOROUGH,825000,835000,864300,810000,865000,76,190,4.8,6.8
GREENVALE,720000,721000,705000,725000,722000,67,202,0.3,-0.4
GROVEDALE,530000,547000,530000,525000,569000,71,230,7.4,8.4
HADFIELD,750000,730000,730000,785500,770000,25,69,2.7,-2.0
HALLAM,577500,590000,605500,585300,612500,22,74,6.1,4.7
HALLS GAP,320000,397500,350000,345000,421300,2,17,31.6,22.1
HAMILTON,220000,237500,212500,253800,285000,79,250,29.5,12.3
HAMLYN HEIGHTS,550500,560000,577500,535000,600000,42,132,9.0,12.1
HAMPTON,1918000,1855000,1990000,1937500,2170000,48,126,13.1,12.0
HAMPTON EAST,1255000,1331500,1285000,1207500,1320000,16,59,5.2,9.3
HAMPTON PARK,510000,525000,530000,541000,550000,86,252,7.8,1.7
HARCOURT,417500,490000,490000,570000,570000,0,10,NA,NA
HARKNESS,480000,470000,480000,466500,502500,55,193,4.7,7.7
HASTINGS,512500,555000,555000,565000,567500,46,132,10.7,0.4
HASTINGS WEST,450000,561000,547600,470000,465000,8,36,3.3,-1.1
HAWTHORN,2427500,2705000,2450000,2575000,1956000,36,122,-19.4,-24.0
HAWTHORN EAST,2255000,2177500,2376500,2618000,2180000,39,83,-3.3,-16.7
HEALESVILLE,613000,570000,610000,591000,640000,21,71,4.4,8.3
HEATHCOTE,320000,370000,340000,315000,407500,18,40,27.3,29.4
HEATHERTON,1000000,865000,991000,860000,992500,14,35,-0.8,15.4
HEATHMONT,915000,890000,940000,927500,930000,25,71,1.6,0.3
HEIDELBERG,1305000,1325000,1092000,1240000,1340000,13,41,2.7,8.1
HEIDELBERG HEIGHTS,770000,928000,705000,815000,780000,16,51,1.3,-4.3
HEIDELBERG WEST,662300,795000,681000,683000,705000,21,53,6.5,3.2
HEPBURN,450000,485000,560000,482500,540000,7,17,20.0,11.9
HEPBURN SPRINGS,570000,558800,565000,570000,730000,7,23,28.1,28.1
HERNE HILL,532500,542500,583500,640500,625000,21,59,17.4,-2.4
HEYFIELD,183500,207500,197000,240000,275000,15,49,49.9,14.6
HEYWOOD,162500,210000,188000,165000,215000,7,29,32.3,30.3
HIGHETT,1333800,1300000,1300000,1220000,1377500,42,114,3.3,12.9
HIGHTON,692500,730000,710000,742500,772000,99,298,11.5,4.0
HILLSIDE (MELTON),650000,671000,670000,657500,695000,56,146,6.9,5.7
HOPETOUN,152000,160000,168000,105000,171000,6,25,12.5,62.9
HOPPERS CROSSING,525000,535000,550000,550000,560000,115,365,6.7,1.8
HORSHAM,272500,250000,242500,260000,285000,111,357,4.6,9.6
HUGHESDALE,1308500,1457500,1402500,1522500,1040000,11,26,-20.5,-31.7
HUNTINGDALE,1016000,1220300,1040000,875000,1172000,5,14,15.4,33.9
HUNTLY,367500,372500,371000,395000,435000,12,48,18.4,10.1
HURSTBRIDGE,740500,740000,772500,720000,840000,9,21,13.4,16.7
INDENTED HEAD,615500,605000,497500,537500,615000,12,33,-0.1,14.4
INGLEWOOD,185000,275000,195000,212000,177500,4,21,-4.1,-16.3
INVERLOCH,625000,649500,630000,615000,690000,87,220,10.4,12.2
INVERMAY PARK,500000,515000,440000,485000,550000,7,34,10.0,13.4
IRONBARK,280000,465500,372900,395000,495000,7,24,76.8,25.3
IRYMPLE,393000,315000,290000,383300,417800,13,65,6.3,9.0
IVANHOE,1486300,1565000,1590000,1880000,1575000,16,58,6.0,-16.2
IVANHOE EAST,2044000,2145000,1800000,3125000,1910000,13,30,-6.6,-38.9
JACANA,517500,587500,615000,555000,549000,10,18,6.1,-1.1
JACKASS FLAT,338500,415000,415000,360000,420000,17,37,24.1,16.7
JAN JUC,870100,933000,920000,897500,1132500,20,56,30.2,26.2
JEERALANG NORTH,242500,236500,337500,175000,252500,13,28,4.1,44.3
JEPARIT,79500,90000,150000,115000,101500,4,15,27.6,-11.8
JUNORTOUN,537500,590000,614000,570000,717500,8,20,33.5,25.9
KALIMNA,310000,320000,350000,356000,388000,13,33,25.2,9.0
KALKALLO,564000,540000,555000,567000,560000,48,116,-0.7,-1.2
KALLISTA,630000,563800,725000,707500,690000,3,10,9.5,-2.5
KALORAMA,695000,609000,657500,796000,765000,7,16,10.1,-3.9
KANGAROO FLAT,350000,370000,360500,372500,405000,65,214,15.7,8.7
KANGAROO GROUND SOUTH,970000,1080000,845000,1350000,1025000,7,18,5.7,-24.1
KANIVA,177000,137500,96000,99000,174000,6,19,-1.7,75.8
KEALBA,598000,600000,595000,580000,600000,9,31,0.3,3.4
KEILOR,875000,800000,913800,792500,895500,16,45,2.3,13.0
KEILOR DOWNS,696300,650500,680600,649000,681300,22,60,-2.2,5.0
KEILOR EAST,815000,837900,825000,838000,842000,47,158,3.3,0.5
KEILOR LODGE,790000,760000,743000,743000,757500,6,8,-4.1,NA
KEILOR PARK,700000,737500,688000,731900,735000,13,34,5.0,0.4
KENNINGTON,374500,411000,437500,437000,425000,31,92,13.5,-2.7
KENSINGTON,1180000,1170000,985000,1133500,1200000,31,86,1.7,5.9
KERANG,147000,160000,180000,195000,231300,22,68,57.3,18.6
KEW,2700000,2200000,2180000,2442500,2210000,69,184,-18.1,-9.5
KEW EAST,2000000,1540500,1785000,1785000,1732500,2,9,-13.4,NA
