Suburb,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Postcode,Average income,Lat,Lng
BRIGHTON,1720000.0,1720000.0,1789500.0,1802500.0,1940000.0,2302500.0,2740000.0,3050000.0,2879000.0,2600000.0,2825000.0,3186,137485.19224632115,-37.9043383,144.9931825
BROADFORD,260000.0,260000.0,268500.0,291000.0,267000.0,270000.0,287500.0,330000.0,396500.0,417500.0,439000.0,3658,52095.4426369863,-37.2110528,145.063089
BROADMEADOWS,357000.0,357000.0,320000.0,325000.0,345000.0,370000.0,416500.0,546000.0,575000.0,526000.0,556500.0,3047,39113.32163877669,-37.68608690000001,144.9269889
BROOKFIELD,341000.0,341000.0,332000.0,330000.0,350500.0,340000.0,360000.0,425000.0,491500.0,445000.0,488500.0,3338,51267.34722627737,-37.699903799999994,144.5382417
BROWN HILL,258500.0,258500.0,300000.0,310000.0,281500.0,270000.0,338000.0,350000.0,405000.0,449000.0,439500.0,3350,56145.194797098164,-37.54949999999999,143.9125
BRUNSWICK,670000.0,670000.0,673000.0,750000.0,815000.0,860500.0,946000.0,1200000.0,1097500.0,1030000.0,1208000.0,3056,63092.492032209026,-37.7670374,144.96210349999998
BRUNSWICK EAST,700000.0,700000.0,713000.0,767000.0,819500.0,888000.0,998000.0,1150000.0,1170000.0,995500.0,1085000.0,3057,64198.928652450086,-37.7673388,144.98024630000003
BRUNSWICK WEST,701500.0,701500.0,685000.0,745000.0,790000.0,866500.0,1005000.0,1155000.0,1160000.0,1061000.0,1096500.0,3055,61398.8223656369,-37.75864809999999,144.9448586
BRUTHEN,204000.0,204000.0,175000.0,198000.0,182500.0,205000.0,207000.0,229500.0,261000.0,229000.0,215000.0,3885,39957.63574879227,-37.713519299999994,147.8339017
BULLEEN,722500.0,722500.0,707000.0,780000.0,861000.0,1095000.0,1170000.0,1300000.0,1230000.0,1100000.0,1245000.0,3105,62072.88036083999,-37.767103399999996,145.0926559
BUNDALONG,500000.0,500000.0,385000.0,337500.0,336500.0,372500.0,425000.0,373000.0,462000.0,515000.0,425000.0,3730,46917.99959349594,-36.02935,146.1302674
BUNYIP,340000.0,340000.0,342500.0,332500.0,325000.0,420000.0,357500.0,437500.0,550000.0,501000.0,470000.0,3815,50993.71304818625,-38.1000508,145.7189396
BURNLEY,810000.0,810000.0,797500.0,836000.0,1100000.0,999000.0,1215000.0,1405000.0,1305000.0,1188500.0,1902500.0,3121,81748.72839948094,-37.8296728,145.01264790000002
BURNSIDE,410000.0,410000.0,385000.0,390000.0,401000.0,415000.0,518500.0,572500.0,605000.0,605000.0,645000.0,3023,53627.19749716907,-37.753,144.754
BURNSIDE HEIGHTS,405000.0,405000.0,420000.0,427000.0,442500.0,460000.0,522000.0,590000.0,633000.0,591000.0,600000.0,3023,53627.19749716907,-37.727,144.76
BURWOOD EAST,630000.0,630000.0,617000.0,685500.0,782000.0,982500.0,1021000.0,1126500.0,1048000.0,1020000.0,1125500.0,3151,50847.13993936493,-37.852616299999994,145.1519822
CAIRNLEA,478500.0,478500.0,440000.0,480000.0,545000.0,540000.0,608500.0,710000.0,734000.0,752500.0,762500.0,3023,53627.19749716907,-37.7578477,144.7913339
CALIFORNIA GULLY,240000.0,240000.0,255000.0,252500.0,262000.0,256500.0,255000.0,250000.0,275000.0,289000.0,318000.0,3556,45021.252223816366,-36.730314899999996,144.2620417
CAMBERWELL,1322000.0,1322000.0,1300000.0,1382000.0,1655000.0,1912500.0,2090000.0,2300000.0,2155000.0,2100000.0,1800000.0,3124,93892.18350976397,-37.8321474,145.0636941
CAMPBELLFIELD,360000.0,360000.0,330000.0,330000.0,338000.0,374500.0,420000.0,507000.0,550000.0,534500.0,500000.0,3061,43571.33798517226,-37.667207700000006,144.9549288
CAMPBELLS CREEK,340000.0,340000.0,343500.0,382000.0,345000.0,387500.0,426500.0,380000.0,460500.0,500000.0,495000.0,3451,49471.052359882015,-37.1,144.2
CAMPERDOWN,180000.0,180000.0,183500.0,220000.0,186000.0,218000.0,217500.0,240000.0,235000.0,280000.0,250000.0,3260,44447.619934282586,-38.23552720000001,143.14264550000001
CANADIAN,298000.0,298000.0,290500.0,322500.0,297000.0,345000.0,339000.0,334500.0,373000.0,377500.0,407000.0,3350,56145.194797098164,-37.576,143.877
CANN RIVER,83500.0,83500.0,150000.0,140000.0,120000.0,80000.0,148500.0,135000.0,126500.0,125000.0,122000.0,3890,46779.51265822785,-37.566666999999995,149.15
CANTERBURY,1730000.0,1730000.0,1790000.0,1950000.0,2100000.0,2523000.0,2620000.0,3140000.0,2536500.0,2832500.0,2250000.0,3126,127984.90645680556,-37.8242935,145.08291880000002
CAPE PATERSON,420000.0,420000.0,348000.0,337000.0,332000.0,350000.0,358000.0,407500.0,442000.0,540000.0,659000.0,3995,42294.49112097669,-38.6717,145.6198
CAPE SCHANCK,477500.0,477500.0,655000.0,620000.0,557500.0,660000.0,667500.0,972500.0,845000.0,940000.0,1018500.0,3939,47514.5609847072,-38.461,144.905
CAPEL SOUND,375000.0,375000.0,330000.0,350000.0,366000.0,390000.0,445000.0,542500.0,550000.0,515000.0,625000.0,3940,43090.35621934909,-38.376999999999995,144.872
CARLTON,1055000.0,1055000.0,860500.0,1002500.0,1020000.0,830000.0,1050000.0,1470000.0,1600000.0,1306000.0,1500000.0,3053,57770.28762222753,-37.8001,144.9671
CARNEGIE,905500.0,905500.0,845000.0,865000.0,1007500.0,1300000.0,1348500.0,1510000.0,1445000.0,1310000.0,1336000.0,3163,63886.935580346544,-37.8891994,145.05705769999997
CAROLINE SPRINGS,420000.0,420000.0,427500.0,435000.0,460000.0,480000.0,530000.0,611000.0,620000.0,620000.0,631500.0,3023,53627.19749716907,-37.745,144.74
CARRUM,492500.0,492500.0,499000.0,510000.0,536000.0,611000.0,750000.0,846000.0,860000.0,770000.0,900000.0,3197,66233.42907227617,-38.076,145.122
CARRUM DOWNS,345000.0,345000.0,334000.0,330000.0,346000.0,370000.0,430000.0,530000.0,575000.0,537500.0,577500.0,3201,51482.67317666127,-38.09948970000001,145.1726257
CASTERTON,106500.0,106500.0,110000.0,97500.0,99000.0,100000.0,126500.0,142000.0,132500.0,150000.0,169000.0,3311,43406.18791208791,-37.583333,141.4
CASTLEMAINE,322500.0,322500.0,338000.0,372500.0,369500.0,380000.0,410000.0,435000.0,499000.0,520000.0,579000.0,3450,48533.7987357775,-37.058136,144.2185006
CAULFIELD,1150000.0,1150000.0,1085000.0,1172500.0,1322000.0,1650000.0,1715000.0,1914000.0,1701000.0,1658000.0,2082500.0,3162,83584.72619840213,-37.884,145.0266
CAULFIELD EAST,760000.0,760000.0,750000.0,845000.0,1168000.0,1167500.0,1300000.0,1500000.0,1322500.0,1372500.0,1748500.0,3145,94029.07313239011,-37.8791959,145.0444397
CAULFIELD NORTH,1350000.0,1350000.0,1330000.0,1415000.0,1480000.0,1875000.0,2181000.0,2290000.0,1960000.0,2100000.0,2205000.0,3161,97907.90524874486,-37.8726442,145.02470019999998
CAULFIELD SOUTH,930000.0,930000.0,890000.0,1050000.0,1200000.0,1375000.0,1517500.0,1690000.0,1600000.0,1488000.0,1720000.0,3162,83584.72619840213,-37.891,145.026
CHADSTONE,625000.0,625000.0,595000.0,719000.0,823500.0,925000.0,1017500.0,1132000.0,1050000.0,1000000.0,1229000.0,3148,56622.90959473503,-37.8810091,145.09595190000002
CHARLEMONT,560000.0,560000.0,560000.0,560000.0,560000.0,560000.0,560000.0,157000.0,455000.0,465000.0,540000.0,3217,57968.94162874628,-38.218,144.36700000000002
CHARLTON,117000.0,117000.0,123000.0,120000.0,131000.0,179500.0,160000.0,136000.0,150000.0,147000.0,215000.0,3525,42103.63355704698,-36.2678624,143.3510486
CHELSEA,525000.0,525000.0,545000.0,577500.0,580000.0,730000.0,890000.0,914000.0,905000.0,857500.0,880000.0,3196,61535.588477101934,-38.051111,145.12194399999998
CHELSEA HEIGHTS,454000.0,454000.0,440000.0,465000.0,513000.0,598000.0,641000.0,750000.0,778000.0,750000.0,825000.0,3196,61535.588477101934,-38.047,145.137
CHEWTON,255000.0,255000.0,230500.0,312500.0,296000.0,369000.0,403500.0,320000.0,435000.0,439500.0,576000.0,3451,49471.052359882015,-37.083333,144.26666699999998
CHILTERN,202000.0,202000.0,208000.0,171500.0,187500.0,220000.0,250000.0,238500.0,260000.0,223500.0,265000.0,3683,47539.6182531894,-36.15,146.6
CHIRNSIDE PARK,464000.0,464000.0,435500.0,450000.0,490500.0,542500.0,627000.0,735000.0,700000.0,685000.0,752500.0,3116,58465.887315634216,-37.754,145.327
CHUM CREEK,402000.0,402000.0,334000.0,350000.0,500000.0,435000.0,418000.0,534500.0,603000.0,575000.0,567500.0,3777,50892.161342109495,-37.606,145.488
CHURCHILL,170000.0,170000.0,176500.0,182000.0,178500.0,172500.0,182000.0,175000.0,180000.0,185000.0,230000.0,3842,50304.202654867266,-38.3163383,146.4232518
CLARINDA,530000.0,530000.0,475500.0,525000.0,606500.0,682500.0,751000.0,866000.0,800000.0,815000.0,835000.0,3169,46826.618309242214,-37.941,145.10299999999998
CLAYTON,617000.0,617000.0,572500.0,645000.0,750000.0,976000.0,1010500.0,1255000.0,1255000.0,1100500.0,1121000.0,3168,42544.94414867873,-37.9145479,145.127492
CLAYTON SOUTH,511000.0,511000.0,470500.0,522500.0,580000.0,690000.0,755000.0,850000.0,850000.0,832000.0,736500.0,3169,46826.618309242214,-37.9388113,145.1267061
CLIFTON HILL,780000.0,780000.0,801500.0,865000.0,965000.0,1085000.0,1220000.0,1390000.0,1360000.0,1352500.0,1432000.0,3068,85522.78345934991,-37.787778700000004,145.0002125
CLIFTON SPRINGS,340000.0,340000.0,325000.0,336000.0,342000.0,345000.0,365000.0,419000.0,472000.0,485000.0,517000.0,3222,53366.55743732591,-38.151554499999996,144.5738608
CLUNES,199000.0,199000.0,196500.0,219000.0,237500.0,245000.0,255000.0,263000.0,345000.0,330000.0,285000.0,3370,42430.06877113866,-37.296,143.786
CLYDE,515000.0,515000.0,272500.0,397000.0,406000.0,397000.0,435000.0,430000.0,507500.0,549000.0,569500.0,3978,54659.956185973206,-38.132,145.327
COBDEN,200000.0,200000.0,186500.0,162500.0,145000.0,178500.0,177000.0,263000.0,225000.0,237000.0,267500.0,3266,42064.99494097808,-38.320519,143.0828766
COBRAM,207500.0,207500.0,220000.0,218000.0,230000.0,236000.0,265000.0,255000.0,255000.0,272500.0,304000.0,3644,47111.3431372549,-35.966667,145.65
COBURG,611000.0,611000.0,594000.0,633000.0,710000.0,778000.0,876000.0,1000000.0,970000.0,931000.0,1140000.0,3058,59315.7317409913,-37.741298799999996,144.9666108
COBURG EAST,510000.0,510000.0,466500.0,560000.0,597500.0,675000.0,762500.0,861000.0,841500.0,823500.0,941000.0,3058,59315.7317409913,-37.741298799999996,144.9666108
COCKATOO,325000.0,325000.0,333500.0,355000.0,365000.0,385500.0,430000.0,539500.0,591000.0,580000.0,596000.0,3781,56704.39984561945,-37.935,145.49200000000002
COHUNA,170000.0,170000.0,140000.0,139000.0,175000.0,175000.0,157500.0,180000.0,177500.0,205000.0,220500.0,3568,48703.680677540775,-35.8149095,144.2095074
COLAC,215000.0,215000.0,225000.0,226500.0,235000.0,246500.0,259500.0,282500.0,320000.0,315000.0,339000.0,3250,47869.29553695955,-38.3410186,143.5854622
COLDSTREAM,377500.0,377500.0,368000.0,385000.0,405000.0,441000.0,521000.0,597500.0,660000.0,635000.0,656000.0,3770,79807.25590955808,-37.734,145.38299999999998
COLERAINE,124000.0,124000.0,109500.0,118000.0,95000.0,96000.0,90000.0,134000.0,114000.0,136000.0,110000.0,3315,63368.37128205128,-37.6,141.7
COLLINGWOOD,697500.0,697500.0,734000.0,741000.0,775000.0,914000.0,920000.0,1205000.0,1110000.0,1050000.0,1215000.0,3066,69980.26065329133,-37.8019,144.98815
COOLAROO,304000.0,304000.0,278000.0,290000.0,290000.0,302500.0,340000.0,451000.0,480000.0,441000.0,480000.0,3048,40304.68164583627,-37.6562333,144.9364069
COONGULLA,250000.0,250000.0,156000.0,150000.0,205000.0,189000.0,185000.0,192000.0,242000.0,335000.0,310000.0,3860,49405.25751179538,-37.886305799999995,146.7854467
CORINELLA,282500.0,282500.0,290000.0,330000.0,270000.0,370000.0,325000.0,391000.0,450000.0,357500.0,660000.0,3984,46068.99575163399,-38.4242265,145.463777
CORIO,225000.0,225000.0,230000.0,230000.0,242000.0,240000.0,250000.0,305000.0,370000.0,354000.0,365000.0,3214,43430.423407407405,-38.0741368,144.35863799999998
CORONET BAY,261500.0,261500.0,222500.0,251000.0,249000.0,240000.0,266000.0,325500.0,345000.0,365000.0,375000.0,3984,46068.99575163399,-38.433333000000005,145.45
CORRYONG,155000.0,155000.0,152500.0,166500.0,135000.0,160000.0,164000.0,180000.0,162500.0,236000.0,200000.0,3707,42807.41147859922,-36.1966523,147.90234980000002
